Test Case,City,length itin,Runtime,Score,Sat?,Testcase,Avg Runtime,Avg Score,Sat prop
1a,Phoenix,6,0.027445078,3.21046621,TRUE,1a,0.026145005,3.21046621,1
1a,Phoenix,6,0.02557683,3.216929255,TRUE,1b,4.15E-05,2.461360647,1
1a,Phoenix,6,0.029334068,3.21046621,TRUE,1c,3.63E-05,2.566914247,1
1a,Phoenix,6,0.027958155,3.21046621,TRUE,2a,0.001616144,2.307927963,1
1a,Phoenix,6,0.025202036,3.216929255,TRUE,2b,0.001096177,2.341393945,1
1a,Phoenix,6,0.025290012,3.21046621,TRUE,2c,0.001252914,2.266540922,1
1a,Phoenix,6,0.023770809,3.21046621,TRUE,3a,4.39E-05,2.461360647,1
1a,Phoenix,6,0.023162127,3.21046621,TRUE,3b,4.85E-05,2.461360647,1
1a,Phoenix,6,0.027667046,3.21046621,TRUE,3c,0.000451112,2.445919276,1
1a,Phoenix,6,0.026043892,3.21046621,TRUE,4a,3.19E-05,1.574317741,1
1b,Belmont,6,3.62E-05,2.461360647,TRUE,4b,3.79E-05,3.269014274,1
1b,Belmont,6,3.91E-05,2.461360647,TRUE,4c,8.23E-05,5.176614145,1
1b,Belmont,6,4.82E-05,2.461360647,TRUE,5a,4.60E-05,2.340800768,1
1b,Belmont,6,3.79E-05,2.461360647,TRUE,5b,NONE,NONE,0
1b,Belmont,6,3.67E-05,2.461360647,TRUE,5c,0.002473927,1.917605879,1
1b,Belmont,6,6.39E-05,2.461360647,TRUE,6a,0.025372028,3.173676508,1
1b,Belmont,6,3.67E-05,2.461360647,TRUE,6b,0.478975391,3.000256092,1
1b,Belmont,6,3.89E-05,2.461360647,TRUE,6c,0.295846748,3.052591394,1
1b,Belmont,6,3.62E-05,2.461360647,TRUE,7a,4.36E-05,2.496321985,1
1b,Belmont,6,4.12E-05,2.461360647,TRUE,7b,0.029390287,2.254123452,1
1c,Concord,6,5.08E-05,2.566914247,TRUE,7c,0.012719679,2.342762499,1
1c,Concord,6,5.51E-05,2.566914247,TRUE,,,,
1c,Concord,6,3.41E-05,2.566914247,TRUE,,,,
1c,Concord,6,3.00E-05,2.566914247,TRUE,,,,
1c,Concord,6,2.88E-05,2.566914247,TRUE,,,,
1c,Concord,6,2.91E-05,2.566914247,TRUE,,,,
1c,Concord,6,2.81E-05,2.566914247,TRUE,,,,
1c,Concord,6,2.60E-05,2.566914247,TRUE,,,,
1c,Concord,6,2.88E-05,2.566914247,TRUE,,,,
1c,Concord,6,5.20E-05,2.566914247,TRUE,,,,
2a,Belmont,6,0.001030922,2.361517667,TRUE,,,,
2a,Belmont,6,0.001913786,2.361517667,TRUE,,,,
2a,Belmont,6,0.00412488,2.248790942,TRUE,,,,
2a,Belmont,6,0.00111413,2.248790942,TRUE,,,,
2a,Belmont,6,0.001070976,2.361517667,TRUE,,,,
2a,Belmont,6,0.001205921,2.348327821,TRUE,,,,
2a,Belmont,6,0.00128603,2.176990647,TRUE,,,,
2a,Belmont,6,0.00138998,2.248790942,TRUE,,,,
2a,Belmont,6,0.001600027,2.361517667,TRUE,,,,
2a,Belmont,6,0.001424789,2.361517667,TRUE,,,,
2b,Belmont,6,0.001060963,2.239419525,TRUE,,,,
2b,Belmont,6,0.00139308,2.348327821,TRUE,,,,
2b,Belmont,6,0.001096964,2.348327821,TRUE,,,,
2b,Belmont,6,0.001186848,2.361517667,TRUE,,,,
2b,Belmont,6,0.000871897,2.348327821,TRUE,,,,
2b,Belmont,6,0.000828266,2.361517667,TRUE,,,,
2b,Belmont,6,0.001587868,2.348327821,TRUE,,,,
2b,Belmont,6,0.00078392,2.348327821,TRUE,,,,
2b,Belmont,6,0.000833988,2.361517667,TRUE,,,,
2b,Belmont,6,0.001317978,2.348327821,TRUE,,,,
2c,Belmont,6,0.00101018,2.312198693,TRUE,,,,
2c,Belmont,6,0.001541138,2.203290397,TRUE,,,,
2c,Belmont,6,0.001254797,2.116396639,TRUE,,,,
2c,Belmont,6,0.001217127,2.203290397,TRUE,,,,
2c,Belmont,6,0.000878096,2.32538854,TRUE,,,,
2c,Belmont,6,0.001331091,2.32538854,TRUE,,,,
2c,Belmont,6,0.001332998,2.32538854,TRUE,,,,
2c,Belmont,6,0.001345634,2.32538854,TRUE,,,,
2c,Belmont,6,0.001028061,2.203290397,TRUE,,,,
2c,Belmont,6,0.001590014,2.32538854,TRUE,,,,
3a,Belmont,6,5.72E-05,2.461360647,TRUE,,,,
3a,Belmont,6,4.29E-05,2.461360647,TRUE,,,,
3a,Belmont,6,4.10E-05,2.461360647,TRUE,,,,
3a,Belmont,6,4.29E-05,2.461360647,TRUE,,,,
3a,Belmont,6,3.50E-05,2.461360647,TRUE,,,,
3a,Belmont,6,4.10E-05,2.461360647,TRUE,,,,
3a,Belmont,6,3.81E-05,2.461360647,TRUE,,,,
3a,Belmont,6,4.10E-05,2.461360647,TRUE,,,,
3a,Belmont,6,3.98E-05,2.461360647,TRUE,,,,
3a,Belmont,6,5.98E-05,2.461360647,TRUE,,,,
3b,Belmont,6,4.29E-05,2.461360647,TRUE,,,,
3b,Belmont,6,4.60E-05,2.461360647,TRUE,,,,
3b,Belmont,6,3.58E-05,2.461360647,TRUE,,,,
3b,Belmont,6,3.98E-05,2.461360647,TRUE,,,,
3b,Belmont,6,4.20E-05,2.461360647,TRUE,,,,
3b,Belmont,6,6.77E-05,2.461360647,TRUE,,,,
3b,Belmont,6,3.60E-05,2.461360647,TRUE,,,,
3b,Belmont,6,4.10E-05,2.461360647,TRUE,,,,
3b,Belmont,6,8.80E-05,2.461360647,TRUE,,,,
3b,Belmont,6,4.63E-05,2.461360647,TRUE,,,,
3c,Belmont,6,0.000414133,2.4525142,TRUE,,,,
3c,Belmont,6,0.000520945,2.4525142,TRUE,,,,
3c,Belmont,6,0.000392914,2.4525142,TRUE,,,,
3c,Belmont,6,0.000458956,2.439324353,TRUE,,,,
3c,Belmont,6,0.000463724,2.439324353,TRUE,,,,
3c,Belmont,6,0.000452042,2.4525142,TRUE,,,,
3c,Belmont,6,0.000403166,2.4525142,TRUE,,,,
3c,Belmont,6,0.00039506,2.439324353,TRUE,,,,
3c,Belmont,6,0.000455141,2.439324353,TRUE,,,,
3c,Belmont,6,0.000555038,2.439324353,TRUE,,,,
4a,Belmont,6,3.22E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.62E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.10E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.60E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.10E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.00E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.19E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.19E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.89E-05,1.574317741,TRUE,,,,
4a,Belmont,6,3.19E-05,1.574317741,TRUE,,,,
4b,Belmont,6,3.41E-05,3.269014274,TRUE,,,,
4b,Belmont,6,3.93E-05,3.269014274,TRUE,,,,
4b,Belmont,6,5.91E-05,3.269014274,TRUE,,,,
4b,Belmont,6,3.60E-05,3.269014274,TRUE,,,,
4b,Belmont,6,3.48E-05,3.269014274,TRUE,,,,
4b,Belmont,6,3.81E-05,3.269014274,TRUE,,,,
4b,Belmont,6,3.62E-05,3.269014274,TRUE,,,,
4b,Belmont,6,3.79E-05,3.269014274,TRUE,,,,
4b,Belmont,6,3.72E-05,3.269014274,TRUE,,,,
4b,Belmont,6,3.79E-05,3.269014274,TRUE,,,,
4c,Belmont,6,3.79E-05,5.176614145,TRUE,,,,
4c,Belmont,6,3.98E-05,5.176614145,TRUE,,,,
4c,Belmont,6,3.67E-05,5.176614145,TRUE,,,,
4c,Belmont,6,3.60E-05,5.176614145,TRUE,,,,
4c,Belmont,6,3.89E-05,5.176614145,TRUE,,,,
4c,Belmont,6,3.79E-05,5.176614145,TRUE,,,,
4c,Belmont,6,3.91E-05,5.176614145,TRUE,,,,
4c,Belmont,6,3.53E-05,5.176614145,TRUE,,,,
4c,Belmont,6,6.13E-05,5.176614145,TRUE,,,,
4c,Belmont,6,8.23E-05,5.176614145,TRUE,,,,
5a,Belmont,10,7.41E-05,2.340800768,TRUE,,,,
5a,Belmont,10,4.79E-05,2.340800768,TRUE,,,,
5a,Belmont,10,4.91E-05,2.340800768,TRUE,,,,
5a,Belmont,10,5.29E-05,2.340800768,TRUE,,,,
5a,Belmont,10,5.41E-05,2.340800768,TRUE,,,,
5a,Belmont,10,4.98E-05,2.340800768,TRUE,,,,
5a,Belmont,10,4.91E-05,2.340800768,TRUE,,,,
5a,Belmont,10,5.60E-05,2.340800768,TRUE,,,,
5a,Belmont,10,5.41E-05,2.340800768,TRUE,,,,
5a,Belmont,10,4.60E-05,2.340800768,TRUE,,,,
5b,Belmont,51,0.000646114,1.694540609,FALSE,,,,
5b,Belmont,51,0.00061965,1.685228033,FALSE,,,,
5b,Belmont,51,0.001039982,1.701865905,FALSE,,,,
5b,Belmont,51,0.001156807,1.688377616,FALSE,,,,
5b,Belmont,51,0.000873804,1.694540609,FALSE,,,,
5b,Belmont,51,0.001035213,1.694887036,FALSE,,,,
5b,Belmont,51,0.000658989,1.701865905,FALSE,,,,
5b,Belmont,51,0.000615835,1.688377616,FALSE,,,,
5b,Belmont,51,0.000571966,1.689502186,FALSE,,,,
5b,Belmont,51,0.000672102,1.685228033,FALSE,,,,
5c,Belmont,30,0.002584219,1.911995726,TRUE,,,,
5c,Belmont,30,0.002232075,1.911995726,TRUE,,,,
5c,Belmont,30,0.003401995,1.914633695,TRUE,,,,
5c,Belmont,30,0.002312899,1.921757282,TRUE,,,,
5c,Belmont,30,0.002432823,1.906236323,TRUE1a,,,,
5c,Belmont,30,0.003017902,1.919119313,TRUE,,,,
5c,Belmont,30,0.002136946,1.923733804,TRUE,,,,
5c,Belmont,30,0.002292156,1.921757282,TRUE,,,,
5c,Belmont,30,0.002077103,1.923733804,TRUE,,,,
5c,Belmont,30,0.002251148,1.921095835,TRUE,,,,
6a,Phoenix,10,0.024428129,3.175227639,TRUE,,,,
6a,Phoenix,10,0.024942875,3.171349812,TRUE,,,,
6a,Phoenix,10,0.023590088,3.171349812,TRUE,,,,
6a,Phoenix,10,0.023888826,3.175227639,TRUE,,,,
6a,Phoenix,10,0.030010223,3.175227639,TRUE,,,,
6b,Phoenix,51,0.46708703,3.002580812,TRUE,,,,
6b,Phoenix,51,0.47287488,2.998412974,TRUE,,,,
6b,Phoenix,51,0.446285248,3.001850979,TRUE,,,,
6b,Phoenix,51,0.464551926,2.998389575,TRUE,,,,
6b,Phoenix,51,0.544077873,3.000046121,TRUE,,,,
6c,Phoenix,30,0.29519701,3.046730007,TRUE,,,,
6c,Phoenix,30,0.28298378,3.054549333,TRUE,,,,
6c,Phoenix,30,0.275964975,3.057370912,TRUE,,,,
6c,Phoenix,30,0.301930904,3.051520853,TRUE,,,,
6c,Phoenix,30,0.323157072,3.052785866,TRUE,,,,
7a,Concord,10,4.89E-05,2.496321985,TRUE,,,,
7a,Concord,10,4.20E-05,2.496321985,TRUE,,,,
7a,Concord,10,4.29E-05,2.496321985,TRUE,,,,
7a,Concord,10,4.01E-05,2.496321985,TRUE,,,,
7a,Concord,10,4.41E-05,2.496321985,TRUE,,,,
7b,Concord,51,0.028249025,2.251998066,TRUE,,,,
7b,Concord,51,0.030938148,2.254369343,TRUE,,,,
7b,Concord,51,0.027807951,2.256093168,TRUE,,,,
7b,Concord,51,0.027496099,2.256504356,TRUE,,,,
7b,Concord,51,0.032460213,2.251652325,TRUE,,,,
7c,Concord,30,0.012418747,2.341033634,TRUE,,,,
7c,Concord,30,0.01334095,2.345638064,TRUE,,,,
7c,Concord,30,0.011933804,2.343397526,TRUE,,,,
7c,Concord,30,0.013174772,2.338105209,TRUE,,,,
7c,Concord,30,0.012730122,2.345638064,TRUE,,,,